t_hours,T_out_C,T_in_C,T_bed_avg_C
0.0,18.0,45.0,18.181577952088954
0.25,18.0,45.0,18.36315590417791
0.5,18.0,45.0,18.544733856266863
0.75,18.0,45.0,18.726311808355817
1.0,18.0,45.0,18.90788976044477
1.25,18.0,45.0,19.089467712533725
1.5,18.0,45.0,19.27104566462268
1.75,18.0,45.0,19.452623616711634
2.0,18.0,45.0,19.634201568800588
2.25,18.0,45.0,19.815779520889542
2.5,18.0,45.0,19.9973574729785
2.75,18.0,45.0,20.178935425067454
3.0,18.0,45.0,20.360513377156405
3.25,18.0,45.0,20.54209132924536
3.5,18.0,45.0,20.723669281334317
3.75,18.0,45.0,20.90524723342327
4.0,18.0,45.0,21.08682518551222
4.25,18.0,45.0,21.268403137601176
4.5,18.0,45.0,21.449981089690134
4.75,18.0,45.0,21.631559041779088
5.0,18.0,45.0,21.813136993868042
5.25,18.0,45.0,21.994714945956996
5.5,18.0,45.0,22.17629289804595
5.75,18.0,45.0,22.357870850134905
6.0,18.0,45.0,22.53944880222386
6.25,18.0,45.0,22.721026754312813
6.5,18.0,45.0,22.902604706401767
6.75,18.0,45.0,23.08418265849072
7.0,18.0,45.0,23.26576061057968
7.25,18.0,45.0,23.44733856266863
7.5,18.0,45.0,23.628916514757584
7.75,18.0,45.0,23.810494466846542
8.0,,,23.810274478173817
8.25,,,23.81005449782999
8.5,,,23.809834525814747
8.75,,,23.809614562127773
9.0,,,23.809394606768752
9.25,,,23.809174659737366
9.5,,,23.8089547210333
9.75,,,23.80873479065624
10.0,,,23.808514868605876
10.25,,,23.80829495488188
10.5,,,23.808075049483953
10.75,,,23.807855152411765
11.0,,,23.807635263665013
11.25,,,23.80741538324337
11.5,,,23.807195511146528
11.75,,,23.80697564737417
12.0,,,23.806755791925983
12.25,,,23.806535944801652
12.5,,,23.806316106000853
12.75,,,23.80609627552328
13.0,,,23.805876453368622
13.25,,,23.805656639536554
13.5,,,23.80543683402676
13.75,,,23.805217036838933
14.0,,,23.804997247972757
14.25,,,23.804777467427915
14.5,,,23.804557695204085
14.75,,,23.804337931300964
15.0,,,23.804118175718223
15.25,,,23.80389842845556
15.5,,,23.80367868951266
15.75,,,23.803458958889202
16.0,,,23.80323923658487
16.25,,,23.803019522599346
16.5,,,23.80279981693233
16.75,,,23.80258011958349
17.0,,,23.80236043055252
17.25,,,23.802140749839104
17.5,,,23.801921077442923
17.75,,,23.80170141336367
18.0,,,23.801481757601024
18.25,,,23.801262110154674
18.5,,,23.8010424710243
18.75,,,23.800822840209594
19.0,,,23.800603217710233
19.25,,,23.80038360352591
19.5,,,23.800163997656306
19.75,,,23.799944400101104
20.0,,,23.79972481086
20.25,,,23.799505229932663
20.5,,,23.79928565731879
20.75,,,23.799066093018062
21.0,,,23.798846537030165
21.25,,,23.798626989354783
21.5,,,23.798407449991608
21.75,,,23.798187918940314
22.0,,,23.797968396200595
22.25,,,23.797748881772133
22.5,,,23.797529375654612
22.75,,,23.797309877847724
23.0,,,23.797090388351148
23.25,,,23.796870907164568
23.5,,,23.796651434287675
23.75,,,23.796431969720153
24.0,18.0,45.0,23.978009921809104
24.25,18.0,45.0,24.159587873898058
24.5,18.0,45.0,24.341165825987012
24.75,18.0,45.0,24.522743778075967
25.0,18.0,45.0,24.704321730164928
25.25,18.0,45.0,24.885899682253875
25.5,18.0,45.0,25.06747763434283
25.75,18.0,45.0,25.249055586431787
26.0,18.0,45.0,25.43063353852074
26.25,18.0,45.0,25.612211490609695
26.5,18.0,45.0,25.793789442698653
26.75,18.0,45.0,25.9753673947876
27.0,18.0,45.0,26.156945346876558
27.25,18.0,45.0,26.33852329896551
27.5,18.0,45.0,26.520101251054466
27.75,18.000000000000004,45.0,26.70167920314342
28.0,18.000000000000014,45.0,26.88325715523237
28.25,18.000000000000057,45.0,27.064835107321322
28.5,18.000000000000206,45.0,27.24641305941028
28.75,18.000000000000703,45.0,27.427991011499227
29.0,18.000000000002245,45.0,27.609568963588174
29.25,18.000000000006757,45.0,27.791146915677082
29.5,18.000000000019245,45.0,27.97272486776591
29.75,18.000000000052104,45.0,28.154302819854514
30.0,18.00000000013467,45.0,28.335880771942563
30.25,18.000000000333486,45.0,28.517458724029268
30.5,18.000000000793708,45.0,28.699036676112883
30.75,18.00000000182068,45.0,28.880614628189598
31.0,18.00000000403528,45.0,29.062192580251413
31.25,18.000000008660592,45.0,29.24377053228212
31.5,18.00000001803542,45.0,29.42534848424979
31.75,18.000000036508606,45.0,29.606926436093215
32.0,,,29.606486991162047
32.25,,,29.606047562868504
32.5,,,29.60560815121198
32.75,,,29.605168756191837
33.0,,,29.604729377807427
33.25,,,29.604290016058155
33.5,,,29.60385067094336
33.75,,,29.60341134246243
34.0,,,29.60297203061473
34.25,,,29.602532735399627
34.5,,,29.602093456816498
34.75,,,29.601654194864704
35.0,,,29.601214949543625
35.25,,,29.60077572085263
35.5,,,29.600336508791077
35.75,,,29.599897313358355
36.0,,,29.59945813455382
36.25,,,29.599018972376854
36.5,,,29.598579826826818
36.75,,,29.59814069790309
37.0,,,29.59770158560503
37.25,,,29.597262489932017
37.5,,,29.596823410883417
37.75,,,29.596384348458606
38.0,,,29.59594530265695
38.25,,,29.595506273477827
38.5,,,29.595067260920597
38.75,,,29.594628264984635
39.0,,,29.594189285669312
39.25,,,29.593750322974
39.5,,,29.593311376898072
39.75,,,29.592872447440897
40.0,,,29.592433534601838
40.25,,,29.591994638380278
40.5,,,29.591555758775577
40.75,,,29.591116895787117
41.0,,,29.590678049414258
41.25,,,29.590239219656375
41.5,,,29.589800406512843
41.75,,,29.58936160998303
42.0,,,29.588922830066302
42.25,,,29.588484066762042
42.5,,,29.588045320069615
42.75,,,29.587606589988383
43.0,,,29.587167876517732
43.25,,,29.58672917965702
43.5,,,29.586290499405628
43.75,,,29.585851835762924
44.0,,,29.585413188728268
44.25,,,29.584974558301052
44.5,,,29.58453594448064
44.75,,,29.584097347266397
45.0,,,29.583658766657692
45.25,,,29.583220202653912
45.5,,,29.58278165525441
45.75,,,29.582343124458568
46.0,,,29.58190461026576
46.25,,,29.581466112675336
46.5,,,29.5810276316867
46.75,,,29.580589167299202
47.0,,,29.580150719512222
47.25,,,29.579712288325123
47.5,,,29.579273873737282
47.75,,,29.578835475748072
48.0,18.000000071781983,45.0,29.760413427354287
48.25,18.000000137956125,45.0,29.941991378515468
48.5,18.000000258888644,45.0,30.12356932886337
48.75,18.000000474980325,45.0,30.305147277758028
49.0,18.000000852960998,45.0,30.486725224110728
49.25,18.000001500842064,45.0,30.66830316610635
49.5,18.00000259011798,45.0,30.84988110077648
49.75,18.000004388115244,45.0,31.03145902335488
50.0,18.000007304280796,45.0,31.213036926321752
50.25,18.00001195527192,45.0,31.394614798010195
50.5,18.000019254958815,45.0,31.57619262060744
50.75,18.000030536870256,45.0,31.757770367332615
51.0,18.000047718178426,45.0,31.93934799851159
51.25,18.000073515990476,45.0,32.12092545619747
51.5,18.000111728431506,45.0,32.30250265690051
51.75,18.000167594686054,45.0,32.48407948189688
52.0,18.000248249711852,45.0,32.66565576447938
52.25,18.000363290631103,45.0,32.84723127339912
52.5,18.000525472705302,45.0,33.02880569162668
52.75,18.000751553164125,45.0,33.21037858943843
53.0,18.001063300837114,45.0,33.391949390712995
53.25,18.001488688383457,45.0,33.5735173312098
53.5,18.002063281797746,45.0,33.75508140750308
53.75,18.00283183868008,45.0,33.93664031516728
54.0,18.003850122422186,45.0,34.11819237476199
54.25,18.005186933946085,45.0,34.29973544415303
54.5,18.006926355958473,45.0,34.48126681574086
54.75,18.009170196930853,45.0,34.66278309725281
55.0,18.01204061332357,45.0,34.84428007490069
55.25,18.01568287914505,45.0,35.02575255791269
55.5,18.020268262040958,45.0,35.20719420372335
55.75,18.025996955061544,45.0,35.388597323447094
56.0,,,35.38793898112054
56.25,,,35.38728066371922
56.5,,,35.38662237124216
56.75,,,35.385964103688444
57.0,,,35.38530586105712
57.25,,,35.384647643347236
57.5,,,35.38398945055785
57.75,,,35.383331282688026
58.0,,,35.38267313973682
58.25,,,35.38201502170328
58.5,,,35.38135692858648
58.75,,,35.38069886038545
59.0,,,35.38004081709928
59.25,,,35.379382798726986
59.5,,,35.378724805267666
59.75,,,35.37806683672035
60.0,,,35.37740889308411
60.25,,,35.37675097435798
60.5,,,35.37609308054105
60.75,,,35.37543521163235
61.0,,,35.37477736763095
61.25,,,35.374119548535894
61.5,,,35.37346175434626
61.75,,,35.37280398506109
62.0,,,35.37214624067944
62.25,,,35.37148852120038
62.5,,,35.37083082662296
62.75,,,35.37017315694622
63.0,,,35.36951551216925
63.25,,,35.36885789229109
63.5,,,35.368200297310786
63.75,,,35.367542727227416
64.0,,,35.36688518204003
64.25,,,35.36622766174768
64.5,,,35.36557016634943
64.75,,,35.364912695844325
65.0,,,35.364255250231444
65.25,,,35.36359782950983
65.5,,,35.36294043367855
65.75,,,35.362283062736644
66.0,,,35.36162571668319
66.25,,,35.360968395517226
66.5,,,35.36031109923783
66.75,,,35.359653827844056
67.0,,,35.35899658133495
67.25,,,35.358339359709575
67.5,,,35.35768216296699
67.75,,,35.35702499110625
68.0,,,35.35636784412642
68.25,,,35.35571072202655
68.5,,,35.355053624805706
68.75,,,35.354396552462944
69.0,,,35.35373950499731
69.25,,,35.35308248240788
69.5,,,35.3524254846937
69.75,,,35.351768511853834
70.0,,,35.35111156388734
70.25,,,35.350454640793274
70.5,,,35.34979774257069
70.75,,,35.34914086921866
71.0,,,35.34848402073624
71.25,,,35.34782719712247
71.5,,,35.347170398376434
71.75,,,35.346513624497156
72.0,18.033020892727464,45.0,35.52786950747213
72.25,18.041745878335878,45.0,35.70916671396492
72.5,18.052412410383955,45.0,35.89039218686345
72.75,18.065363672436128,45.0,36.071530561108624
73.0,18.080984743985223,45.0,36.25256388193968
73.25,18.099704310004814,45.0,36.43347131164252
